OrderNumber,QuantityOrdered,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
-1.6479470949959203,-0.5228908557285186,0.5969775019778834,-1.0570587063287502,-0.3708252319213149,112,5,-1.4270386327380036,-1.3929088876103477,-1.1651700861775494,1,-0.14224584412333427,0,45,48,57,9,42,9,0,18,3,76,36,2
-1.495887501494733,-0.11220131389876024,-0.11445035408552658,-0.3470150686464702,-0.427897066100711,185,5,-0.5962425798983697,-0.5723367278181918,-1.1651700861775494,1,-0.14224584412333427,0,66,54,40,9,56,16,27,6,1,28,54,2
-1.354689307529345,0.6065053843033168,0.549383722060052,-1.0570587063287502,0.17944282181178947,204,5,0.23455347294126402,-0.025288621290087743,-1.1651700861775494,1,-0.14224584412333427,0,46,16,21,9,52,16,41,6,1,17,11,1
-1.2352139126355548,1.017194926133075,-0.019758562790675022,-0.1103338560857102,0.10470098302537557,226,5,0.23455347294126402,0.24823543197396428,-1.1651700861775494,1,-0.14224584412333427,0,85,76,54,9,53,1,49,18,3,75,31,1
-1.0831543191343675,1.4278844679628335,0.8101579745265006,1.7831158444003699,0.8967396621789611,23,5,1.0653495257808978,0.7952835385020682,-1.1651700861775494,1,-0.14224584412333427,0,23,77,51,9,59,1,73,18,3,8,31,1
-0.9854017233121758,0.09314345701611891,0.6445712818957139,-1.2937399188895102,-0.04025387345272125,39,5,1.0653495257808978,0.7952835385020682,-1.1651700861775494,1,-0.14224584412333427,0,79,79,58,9,12,1,54,18,3,30,32,1
-0.8550649288825867,-0.6255632411859581,0.1225270084220064,0.5997097815965698,-0.5734981212721809,48,5,1.0653495257808978,1.0688075917661204,-1.1651700861775494,1,-0.14224584412333427,0,26,40,7,9,28,16,31,6,1,57,43,2
-0.7681737325961939,1.325212082505394,0.8101579745265006,-1.2937399188895102,1.0634752157925056,56,5,1.0653495257808978,1.0688075917661204,-1.1651700861775494,1,-0.14224584412333427,0,40,21,68,9,4,16,64,11,1,52,65,1
-0.6269755386308058,-1.344269939388035,0.7392630731905647,-1.0570587063287502,-0.7522779496916155,82,5,1.0653495257808978,1.3423316450301723,-1.1651700861775494,1,-0.14224584412333427,0,56,78,37,9,59,1,73,18,3,48,31,2
-0.5183615432728149,0.6065053843033168,0.8101579745265006,1.7831158444003699,0.6269489925752558,4,5,-1.4270386327380036,-1.6664329408743999,0.2643280247651782,1,-0.14224584412333427,0,9,3,17,9,52,16,40,6,1,53,14,1
-0.38802474884322585,0.1958158424735585,0.8101579745265006,-1.2937399188895102,0.22360154260597098,107,5,-1.4270386327380036,-1.3929088876103477,0.2643280247651782,1,-0.14224584412333427,0,6,33,44,3,38,15,15,0,0,21,55,1
-0.23596515534203857,-1.2415975539305957,0.8101579745265006,0.1263473564750498,-0.662907041325821,163,5,-0.5962425798983697,-0.8458607810822437,0.2643280247651782,1,-0.14224584412333427,0,88,45,20,5,42,9,0,18,3,26,48,2
-0.08390556184085132,-0.7282356266433977,0.8101579745265006,-1.0570587063287502,-0.19833905296086415,172,5,-0.5962425798983697,-0.5723367278181918,0.2643280247651782,1,-0.14224584412333427,0,80,41,48,9,47,6,53,18,3,8,69,1
0.046431232588737756,-0.11220131389876024,0.8101579745265006,-1.0570587063287502,0.0667218766266416,198,5,-0.5962425798983697,-0.29881267455413973,0.2643280247651782,1,-0.14224584412333427,0,35,42,18,9,8,2,56,18,3,37,31,1
0.17676802701832683,1.017194926133075,0.4546919307652012,-1.2937399188895102,0.3385543168917597,213,5,0.23455347294126402,-0.025288621290087743,0.2643280247651782,1,-0.14224584412333427,0,44,60,46,9,43,16,22,6,1,41,25,1
0.2853820223763177,0.09314345701611891,0.8101579745265006,-0.1103338560857102,0.2963776341066626,227,5,0.23455347294126402,0.24823543197396428,0.2643280247651782,1,-0.14224584412333427,0,48,74,29,9,13,4,28,18,3,29,42,1
0.43744161587750496,-1.2415975539305957,0.8101579745265006,0.5997097815965698,-0.5194020592269721,247,5,0.23455347294126402,0.5217594852380163,0.2643280247651782,1,-0.14224584412333427,0,84,87,76,9,24,16,10,5,1,34,46,2
0.5460556112354958,0.6065053843033168,0.8101579745265006,-0.3470150686464702,0.4564068399360444,28,5,1.0653495257808978,0.7952835385020682,0.2643280247651782,1,-0.14224584412333427,0,11,37,70,9,65,16,19,11,1,6,29,1
0.6438082070576877,1.1198673115905147,0.549383722060052,-1.2937399188895102,0.4366733437031304,60,5,1.0653495257808978,1.0688075917661204,0.2643280247651782,1,-0.14224584412333427,0,28,50,49,9,1,11,37,18,3,76,37,1
0.7632836019514777,0.7091777697607564,0.8101579745265006,-1.2937399188895102,0.4573625623733018,53,5,1.0653495257808978,1.0688075917661204,0.2643280247651782,1,-0.14224584412333427,0,45,48,57,9,42,9,0,18,3,76,36,1
0.8936203963810667,0.6065053843033168,0.8101579745265006,0.5997097815965698,2.272035109874388,67,5,1.0653495257808978,1.0688075917661204,0.2643280247651782,1,-0.14224584412333427,0,70,80,73,9,57,16,23,1,1,56,20,0
1.1108483870970485,-1.5496147103029143,-0.5507266699989761,1.5464346318396098,-1.1419194710720522,86,5,1.0653495257808978,1.3423316450301723,0.2643280247651782,1,-0.14224584412333427,0,75,24,81,4,15,7,9,0,0,32,0,2
1.2629079805982357,-1.4469423248454747,-2.4167994576105953,1.3097534192788498,-1.531751050891716,115,5,-1.4270386327380036,-1.3929088876103477,1.6938261357079059,1,-0.14224584412333427,0,44,60,46,9,43,16,22,6,1,41,25,2
